OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-04-23T08:00:01.999872,15.45365296,.00012552,53.1555,330.2738,108.3354,182.2673,0,U,44714,999,588,.22708966E-2,.111313E-2,0
STARLINK-1012,2019-074F,2026-04-23T08:00:01.999872,15.43638433,.00015606,53.1606,330.5920,93.0657,180.9105,0,U,44718,999,583,.21134207E-1,.1051468E-1,0
STARLINK-1017,2019-074L,2026-04-22T19:30:07.825248,15.27908720,.00031738,53.0491,327.2571,183.0210,177.0770,0,U,44723,999,35570,.11131654E-2,.30508E-3,0
STARLINK-1019,2019-074M,2026-04-23T08:00:01.999872,15.99439722,.00073845,53.0336,269.5174,309.6750,119.2051,0,U,44724,999,604,.7145861E-3,.361587E-2,.66072004E-4
STARLINK-1020,2019-074N,2026-04-23T08:00:01.999872,15.40241066,.00012226,53.1609,355.9064,86.3567,150.2119,0,U,44725,999,588,.39798339E-1,.1806376E-1,0
STARLINK-1036,2019-074AE,2026-04-22T23:50:45.345696,15.64726874,.00045662,53.0448,332.5417,143.8900,216.2423,0,U,44741,999,35564,.37350453E-3,.36594E-3,0
STARLINK-1039,2019-074AH,2026-04-23T02:08:05.310240,15.25374751,.000192,53.0630,10.4378,79.8552,280.2661,0,U,44744,999,35512,.12251606E-2,.31115E-3,0
STARLINK-1042,2019-074AL,2026-04-22T12:50:07.653120,15.52113309,.00009716,53.0424,244.0469,336.2956,23.8008,0,U,44747,999,35687,.27824702E-3,.16672E-3,0
STARLINK-1043,2019-074AM,2026-04-22T19:23:10.025952,15.56567221,.00020206,53.0520,341.1559,156.9669,203.1433,0,U,44748,999,35551,.3433143E-3,.24414E-3,0
STARLINK-1046,2019-074AQ,2026-04-23T01:53:22.723872,15.49172330,.00016064,53.0519,359.0487,332.6277,27.4646,0,U,44751,999,35528,.10688553E-2,.59168E-3,0
