episode,source,target
1,IRIDIUM 103,IRIDIUM 150
2,IRIDIUM 167,IRIDIUM 152
3,IRIDIUM 112,IRIDIUM 143
4,IRIDIUM 120,IRIDIUM 150
5,IRIDIUM 144,IRIDIUM 152
6,IRIDIUM 152,IRIDIUM 100
7,IRIDIUM 103,IRIDIUM 150
8,IRIDIUM 157,IRIDIUM 143
9,IRIDIUM 132,IRIDIUM 150
10,IRIDIUM 157,IRIDIUM 141
11,IRIDIUM 150,IRIDIUM 149
12,IRIDIUM 100,IRIDIUM 103
13,IRIDIUM 134,IRIDIUM 112
14,IRIDIUM 160,IRIDIUM 156
15,IRIDIUM 109,IRIDIUM 152
16,IRIDIUM 131,IRIDIUM 141
17,IRIDIUM 157,IRIDIUM 141
18,IRIDIUM 120,IRIDIUM 150
19,IRIDIUM 102,IRIDIUM 141
20,IRIDIUM 100,IRIDIUM 103
21,IRIDIUM 157,IRIDIUM 141
22,IRIDIUM 100,IRIDIUM 103
23,IRIDIUM 132,IRIDIUM 152
24,IRIDIUM 157,IRIDIUM 143
25,IRIDIUM 102,IRIDIUM 141
26,IRIDIUM 102,IRIDIUM 141
27,IRIDIUM 134,IRIDIUM 112
28,IRIDIUM 135,IRIDIUM 152
29,IRIDIUM 135,IRIDIUM 152
30,IRIDIUM 144,IRIDIUM 152
31,IRIDIUM 157,IRIDIUM 141
32,IRIDIUM 109,IRIDIUM 152
33,IRIDIUM 167,IRIDIUM 152
34,IRIDIUM 144,IRIDIUM 152
35,IRIDIUM 103,IRIDIUM 150
36,IRIDIUM 144,IRIDIUM 152
37,IRIDIUM 129,IRIDIUM 152
38,IRIDIUM 109,IRIDIUM 152
39,IRIDIUM 157,IRIDIUM 143
40,IRIDIUM 160,IRIDIUM 156
41,IRIDIUM 135,IRIDIUM 152
42,IRIDIUM 144,IRIDIUM 152
43,IRIDIUM 157,IRIDIUM 143
44,IRIDIUM 109,IRIDIUM 152
45,IRIDIUM 131,IRIDIUM 141
46,IRIDIUM 135,IRIDIUM 152
47,IRIDIUM 112,IRIDIUM 143
48,IRIDIUM 102,IRIDIUM 141
49,IRIDIUM 102,IRIDIUM 141
50,IRIDIUM 157,IRIDIUM 141
51,IRIDIUM 102,IRIDIUM 141
52,IRIDIUM 150,IRIDIUM 149
53,IRIDIUM 157,IRIDIUM 141
54,IRIDIUM 132,IRIDIUM 152
55,IRIDIUM 102,IRIDIUM 141
56,IRIDIUM 100,IRIDIUM 103
57,IRIDIUM 157,IRIDIUM 143
58,IRIDIUM 150,IRIDIUM 149
59,IRIDIUM 157,IRIDIUM 141
60,IRIDIUM 111,IRIDIUM 112
61,IRIDIUM 129,IRIDIUM 152
62,IRIDIUM 132,IRIDIUM 150
63,IRIDIUM 109,IRIDIUM 152
64,IRIDIUM 109,IRIDIUM 152
65,IRIDIUM 144,IRIDIUM 152
66,IRIDIUM 102,IRIDIUM 141
67,IRIDIUM 132,IRIDIUM 150
68,IRIDIUM 109,IRIDIUM 152
69,IRIDIUM 135,IRIDIUM 152
70,IRIDIUM 103,IRIDIUM 150
71,IRIDIUM 134,IRIDIUM 112
72,IRIDIUM 131,IRIDIUM 141
73,IRIDIUM 100,IRIDIUM 103
74,IRIDIUM 167,IRIDIUM 152
75,IRIDIUM 131,IRIDIUM 141
76,IRIDIUM 120,IRIDIUM 150
77,IRIDIUM 111,IRIDIUM 112
78,IRIDIUM 102,IRIDIUM 141
79,IRIDIUM 102,IRIDIUM 141
80,IRIDIUM 103,IRIDIUM 150
81,IRIDIUM 152,IRIDIUM 100
82,IRIDIUM 150,IRIDIUM 149
83,IRIDIUM 144,IRIDIUM 152
84,IRIDIUM 102,IRIDIUM 141
85,IRIDIUM 131,IRIDIUM 141
86,IRIDIUM 135,IRIDIUM 152
87,IRIDIUM 111,IRIDIUM 112
88,IRIDIUM 109,IRIDIUM 152
89,IRIDIUM 144,IRIDIUM 152
90,IRIDIUM 132,IRIDIUM 150
91,IRIDIUM 102,IRIDIUM 141
92,IRIDIUM 132,IRIDIUM 150
93,IRIDIUM 102,IRIDIUM 141
94,IRIDIUM 102,IRIDIUM 141
95,IRIDIUM 157,IRIDIUM 143
96,IRIDIUM 131,IRIDIUM 141
97,IRIDIUM 150,IRIDIUM 149
98,IRIDIUM 100,IRIDIUM 103
99,IRIDIUM 135,IRIDIUM 152
100,IRIDIUM 112,IRIDIUM 143
101,IRIDIUM 132,IRIDIUM 150
102,IRIDIUM 157,IRIDIUM 143
103,IRIDIUM 135,IRIDIUM 152
104,IRIDIUM 160,IRIDIUM 156
105,IRIDIUM 111,IRIDIUM 112
106,IRIDIUM 132,IRIDIUM 152
107,IRIDIUM 152,IRIDIUM 100
108,IRIDIUM 135,IRIDIUM 152
109,IRIDIUM 135,IRIDIUM 152
110,IRIDIUM 120,IRIDIUM 150
111,IRIDIUM 120,IRIDIUM 150
112,IRIDIUM 157,IRIDIUM 141
113,IRIDIUM 129,IRIDIUM 152
114,IRIDIUM 132,IRIDIUM 150
115,IRIDIUM 152,IRIDIUM 100
116,IRIDIUM 167,IRIDIUM 152
117,IRIDIUM 111,IRIDIUM 112
118,IRIDIUM 160,IRIDIUM 156
119,IRIDIUM 157,IRIDIUM 143
120,IRIDIUM 131,IRIDIUM 141
121,IRIDIUM 129,IRIDIUM 152
